#Xaxis_A2  YlengthA2  discharge_A2  dischargeEFF_A2  dischargeINEFF_A2  rech_Moulin_A2  rech_meltR_A2  P_A2
54.8438    20000      1.45176       0.000642103      1.45111            1.44094         0.00984545     3.39658
55.1562    20000      1.44168       0.000632487      1.44105            1.431           0.00972325     3.39808
55.4688    20000      1.43161       0.000622977      1.43099            1.42106         0.00960204     3.3996
55.7812    20000      1.42154       0.000613571      1.42093            1.41112         0.0094818      3.40114
56.0938    20000      1.41148       0.000604269      1.41087            1.40119         0.00936254     3.40271
56.4062    20000      1.40141       0.000595069      1.40081            1.39125         0.00924424     3.40429
56.7188    20000      1.39134       0.00058597       1.39076            1.38131         0.00912691     3.4059
57.0312    20000      1.38128       0.000576971      1.3807             1.37137         0.00901053     3.40753
57.3438    20000      1.37121       0.000568071      1.37064            1.36144         0.00889511     3.40918
57.6562    20000      1.36115       0.00055927       1.36059            1.3515          0.00878062     3.41085
57.9688    20000      1.35109       0.000550566      1.35054            1.34156         0.00866707     3.41255
58.2812    20000      1.34103       0.000541959      1.34048            1.33162         0.00855446     3.41427
58.5938    20000      1.33097       0.000533446      1.33043            1.32169         0.00844277     3.41601
58.9062    20000      1.32091       0.000525028      1.32038            1.31175         0.008332       3.41778
59.2188    20000      1.31085       0.000516704      1.31033            1.30181         0.00822215     3.41957
59.5312    20000      1.30079       0.000508472      1.30028            1.29187         0.0081132      3.42138
59.8438    20000      1.29073       0.000500333      1.29023            1.28194         0.00800516     3.42322
60.1562    20000      1.28068       0.000492284      1.28019            1.272           0.00789802     3.42508
60.4688    20000      1.27062       0.000484325      1.27014            1.26206         0.00779177     3.42697
60.7812    20000      1.26057       0.000476455      1.2601             1.25212         0.00768641     3.42888
61.0938    20000      1.25052       0.000468674      1.25005            1.24219         0.00758194     3.43081
61.4062    20000      1.24047       0.00046098       1.24001            1.23225         0.00747833     3.43278
61.7188    20000      1.23042       0.000453374      1.22996            1.22231         0.00737561     3.43476
62.0312    20000      1.22037       0.000445853      1.21992            1.21238         0.00727374     3.43678
62.3438    20000      1.21032       0.000438417      1.20988            1.20244         0.00717275     3.43882
62.6562    20000      1.20027       0.000431066      1.19984            1.1925          0.0070726      3.44088
62.9688    20000      1.19023       0.000423798      1.1898             1.18256         0.00697331     3.44297
63.2812    20000      1.18018       0.000416614      1.17976            1.17263         0.00687487     3.44509
63.5938    20000      1.17014       0.000409512      1.16973            1.16269         0.00677727     3.44724
63.9062    20000      1.16009       0.000402491      1.15969            1.15275         0.00668051     3.44942
64.2188    20000      1.15005       0.000395551      1.14965            1.14281         0.00658457     3.45162
64.5312    20000      1.14001       0.000388691      1.13962            1.13288         0.00648947     3.45385
64.8438    20000      1.12997       0.000381911      1.12958            1.12294         0.00639519     3.45611
65.1562    20000      1.11992       0.000375209      1.11955            1.113           0.00630173     3.4584
65.4688    20000      1.10989       0.000368585      1.10952            1.10306         0.00620909     3.46072
65.7812    20000      1.09985       0.000362039      1.09949            1.09313         0.00611725     3.46307
66.0938    20000      1.08981       0.000355569      1.08945            1.08319         0.00602622     3.46545
66.4062    20000      1.07977       0.000349175      1.07942            1.07325         0.00593598     3.46786
66.7188    20000      1.06974       0.000342857      1.06939            1.06331         0.00584655     3.4703
67.0312    20000      1.0597        0.000336614      1.05937            1.05338         0.00575791     3.47277
67.3438    20000      1.04967       0.000330445      1.04934            1.04344         0.00567005     3.47528
67.6562    20000      1.03964       0.000324349      1.03931            1.0335          0.00558298     3.47782
