#Xaxis_A5  YlengthA5  discharge_A5  dischargeEFF_A5  dischargeINEFF_A5  rech_Moulins_A5  rech_meltR_A5  P_A5
37.0312    20000      57.2253       1.0403           56.185             56.8125          0.375653       2.03675
37.3438    20000      56.9389       1.02564          55.9133            56.5312          0.370976       2.03763
37.6562    20000      56.6526       1.01115          55.6414            56.25            0.366342       2.03853
37.9688    20000      56.3663       0.996844         55.3694            55.9688          0.36175        2.03944
38.2812    20000      56.08         0.98271          55.0973            55.6875          0.3572         2.04037
38.5938    20000      55.7938       0.968748         54.8251            55.4062          0.352692       2.04132
38.9062    20000      55.5077       0.954955         54.5527            55.125           0.348225       2.04228
39.2188    20000      55.2216       0.941329         54.2802            54.8438          0.343799       2.04326
39.5312    20000      54.9355       0.927868         54.0076            54.5625          0.339413       2.04425
39.8438    20000      54.6495       0.914569         53.7349            54.2812          0.335068       2.04526
40.1562    20000      54.3635       0.90143          53.462             54               0.330762       2.04629
40.4688    20000      54.0775       0.888448         53.1891            53.7188          0.326496       2.04733
40.7812    20000      53.7916       0.875622         52.916             53.4375          0.322269       2.04839
41.0938    20000      53.5058       0.86295          52.6428            53.1562          0.318081       2.04946
41.4062    20000      53.22         0.850428         52.3696            52.875           0.313931       2.05055
41.7188    20000      52.9342       0.838056         52.0962            52.5938          0.30982        2.05166
42.0312    20000      52.6485       0.82583          51.8227            52.3125          0.305746       2.05278
42.3438    20000      52.3628       0.81375          51.549             52.0312          0.301709       2.05392
42.6562    20000      52.0772       0.801813         51.2753            51.75            0.29771        2.05507
42.9688    20000      51.7916       0.790018         51.0015            51.4688          0.293748       2.05624
43.2812    20000      51.506        0.778362         50.7276            51.1875          0.289822       2.05743
43.5938    20000      51.2205       0.766844         50.4536            50.9062          0.285933       2.05863
43.9062    20000      50.935        0.755461         50.1795            50.625           0.28208        2.05985
44.2188    20000      50.6495       0.744213         49.9053            50.3438          0.278262       2.06108
44.5312    20000      50.3641       0.733098         49.631             50.0625          0.27448        2.06233
44.8438    20000      50.0788       0.722113         49.3566            49.7812          0.270733       2.0636
45.1562    20000      49.7934       0.711258         49.0822            49.5             0.267021       2.06488
